user_rank,user_id,user_hash,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,class
44,13782,fbed1a7ecdb68d9fec1080c5eb44e467,-6.558894140034113e-05,0.0005689951898177,0.000146225635035,8.523180357070675e-05,-4.290418920952514e-05,-6.456763944712387e-05,-0.0001382680708567,-0.000558616205518,0.0008005215438349,-0.000201093942648,7
45,7911,3bbfe272f53f2136bb3dd0a8412c1dfc,0.0001202771185899,0.0005641330946163,0.0001178395087373,-0.0003579298772505,0.000151560008001,0.0004566032425675,5.871276761790503e-05,-0.0002561796106567,-0.0007042605870367,0.0006316538325337,14
46,14775,7f1f8aeb740f07e173fbe22dd5a4710b,-0.0001379784210525,-0.0001273297900822,0.0003433993672674,-2.258621022743701e-05,-4.076471875960965e-05,-0.0002320239246622,-5.0862298031607126e-05,-7.090838169324833e-05,1.626813452068867e-05,0.0002070180187272,0
47,7652,20f97e1d3b619fa2ad0010c770ece6fd,-6.0265043949939045e-05,0.0002350169249455,-0.0002715814244835,-0.0003018991746266,0.0003111959382626,-0.0002631204268569,-7.597824372026459e-05,-0.0007919881477643,0.0007294566227283,7.542842029374636e-05,7
48,7257,bea1b2d8f42be79286e9bf6c02fc9f27,-0.0001040388785414,-0.0001337366790599,-3.7175122484404125e-05,7.17381588432531e-05,-1.202000032779055e-05,-0.0002114162448755,2.1482929163624644e-05,8.053299576383224e-05,7.96506004169775e-05,-6.120071938555656e-05,20
49,14460,3afe2a5f2dc90fd6e4e83537043b1f1d,-2.7786497467551664e-05,0.0012370558257876,0.0005110715268921,0.0014366003101688,-0.0003784046443904,0.0002600412225331,-0.000135316357529,0.0001190394565174,0.0005082294133437,-0.0005017341676496,17
50,15628,340158ece93a38f707842348b231be45,0.000281772572294,0.0001396450314893,-2.2094007918553843e-05,7.428491890649564e-06,2.7970651067905624e-05,-0.0001162507611679,-3.633739504821862e-05,-5.473300673297269e-05,-0.0002693845762883,0.0002583001682894,2
51,568,5a0db868e06bbbee554b7b24b6512c41,0.0002061360753846,0.0001455122940637,-0.0001787539893701,-8.746906914015809e-05,0.0001674294186537,-0.0003259373057896,2.925007318119668e-05,-0.0002182994662736,7.336180442277281e-05,-6.379083172657155e-05,8
52,11310,0e070f5f2814658de542fafdb54dac4e,5.5545370507993614e-05,2.521751572427671e-05,-7.412540167605674e-05,-2.4497899874463332e-05,5.457030987324778e-05,-0.0001341835175111,5.2867089023247806e-05,9.25941125794918e-05,-3.3030914323323136e-05,-0.0001051580314642,3
53,994,df8b5b92b6db9ec3e4af337abd046dd9,-2.3469221671300448e-05,-3.32419416118298e-05,5.92442417408355e-07,9.83080419970973e-05,-1.0451228268414952e-06,-0.0002802484886318,4.448081244847648e-05,2.7832295055496373e-05,-0.0001621832589159,9.11426104408181e-05,3
54,9782,ba067e29714e76cf829013647ef472f1,4.364070324296913e-05,4.9797476764881546e-05,-0.0001611549207909,-0.0001412607826146,0.000106293614448,1.121995979841021e-05,2.326443126272592e-05,0.0001281480013201,4.43848012441337e-05,-0.0001349951521649,6
55,3320,559beeaa882170d8ca561ed83abeabb0,2.375866110771454e-05,8.016901724382187e-05,-8.453252857355191e-05,5.053648949322e-05,6.504165372375014e-06,-0.0001034983498568,1.6340567008377522e-05,4.347322501614903e-05,-0.0002345090152581,0.0001061433913974,2
56,13210,d090c983900e1d2211083986a00915b5,-0.0001702991331511,0.0002669110769263,0.0004566369891027,-0.0005314387083254,7.080023376947838e-05,0.0007138122633921,-0.0001213812767226,-0.0003915218962483,-0.0001732203343896,0.0006009182486151,14
57,10148,dfb888af01c1fde97c96d1dc29b33ccf,0.0001619547366188,3.1965413025012395e-05,-4.9952386106802806e-05,-9.787659006711128e-05,6.065076993581611e-05,-2.8293222287589463e-05,3.241316206526394e-05,0.0001401774992308,-0.0001449597340763,-0.0001085288589294,6
58,11819,388bdbb73ec48c207367dd31d81e4a01,0.0007776093575256,-0.0002355485639389,-0.000307163077246,0.0002101168386171,-8.143439610556021e-05,4.028422318202149e-05,-0.0001234145643736,4.296166608397337e-05,-0.0001852341869628,0.0003930852773183,13
59,13160,6a6f01e365ebf34e29eaf7e860ffbe6f,1.2303332180844986e-05,0.0003360030695571,-6.902140668982142e-05,1.017500294794181e-05,3.963616763305042e-06,5.94247104806622e-05,7.019445706695344e-05,-9.642315484546906e-05,-0.0004126444668485,0.0002849658306372,2
60,15279,2d4272eda7311ae416e00aae41312065,-9.881659493426648e-05,8.967701677912077e-05,-0.0003069677436904,-0.0001101659608445,0.0002143420567581,-0.0003361776862267,-3.1158134871247134e-05,-0.0005391295277914,0.0005485121824112,-8.866576120899787e-05,7
61,15425,8aecd26278aa701ab1fcb9306fc6b041,-4.8309081197333126e-05,0.0001224545421554,-5.478493861290938e-05,0.0001282687547021,-6.147726970716926e-05,-4.689312996755447e-05,-2.23434898859518e-06,8.078727005285329e-05,-0.000219376252324,9.097015155090924e-05,2
62,14101,cc9b973b0e665e8c6a7a7e441e9807a4,3.913933250929932e-06,-1.3815366875735206e-05,0.0001717127600663,-0.0001210869106124,4.828410296780831e-05,-3.425295798928522e-05,6.0433350078365645e-05,0.0002228543755586,0.0001553924043428,-0.0002328786897986,15
63,2359,55831ecc9835680763a37012042b821c,-0.0001872691402761,-0.0001732976113116,6.204170029825008e-05,0.0001361463236434,-8.695287416795348e-05,-0.0002074577721765,4.270602282828977e-07,5.668605683984051e-05,-6.020786726971793e-05,0.0001160653486831,0
64,3666,7ee2b92c5bcf6133b8132363e5bda960,-0.0002184292214111,-0.0003495206035738,0.0004009044155609,8.899003027226412e-05,-8.568157441708339e-05,-0.0002568088611298,-4.707510442642221e-05,4.2442008071086345e-06,0.0001801503006412,0.0001563537761997,0
